sentence,sentiment,emotion,pos
Saya suka makan nasi lemak.,positive,happy,"Saya (PRON), suka (VERB), makan (VERB), nasi (NOUN), lemak (ADJ)"
Mereka sedang bermain bola di padang.,neutral,happy,"Mereka (PRON), sedang (ADV), bermain (VERB), bola (NOUN), di (PREP), padang (NOUN)"
Dia pergi ke pasar untuk membeli sayur.,neutral,surprise,"Dia (PRON), pergi (VERB), ke (PREP), pasar (NOUN), untuk (PREP), membeli (VERB), sayur (NOUN)"
Kami belajar matematik di sekolah hari ini.,neutral,happy,"Kami (PRON), belajar (VERB), matematik (NOUN), di (PREP), sekolah (NOUN), hari (NOUN), ini (PRON)"
Buku itu sangat menarik untuk dibaca.,positive,happy,"Buku (NOUN), itu (PRON), sangat (ADV), menarik (ADJ), untuk (PREP), dibaca (VERB)"
Anak-anak itu senang sekali bermain di taman.,positive,happy,"Anak-anak (NOUN), itu (PRON), senang (ADJ), sekali (ADV), bermain (VERB), di (PREP), taman (NOUN)"
Kami kesal dengan pelayanan yang buruk di restoran itu.,negative,angry,"Kami (PRON), kesal (ADJ), dengan (PREP), pelayanan (NOUN), yang (PRON), buruk (ADJ), di (PREP), restoran (NOUN), itu (PRON)"
Kami akan pergi ke kantin untuk makan.,neutral,sad,"Kami (PRON), akan (AUX), pergi (VERB), ke (PREP), kantin (NOUN), untuk (PREP), makan (VERB) "
Dia sedang membaca buku di perpustakaan. ,neutral,sad,"Dia (PRON), sedang (ADV), membaca (VERB), buku (NOUN), di (PREP), perpustakaan (NOUN) "
Mereka sedang berjalan di jalan raya. ,neutral,happy,"Mereka (PRON), sedang (ADV), berjalan (VERB), di (PREP), jalan (NOUN), raya (ADJ) "
Hujan turun dengan deras hari ini. ,neutral,surprise,"Hujan (NOUN), turun (VERB), dengan (PREP), deras (ADJ), hari (NOUN), ini (PRON) "
Dia berharap untuk dapat membantu orang lain dengan kemampuannya.,positive,happy,"Dia (PRON), berharap (VERB), untuk (PREP), dapat (AUX), membantu (VERB), orang (NOUN), lain (ADJ), dengan (PREP), kemampuan (NOUN), nya (PRON)"
Mereka bermimpi tentang kehidupan yang lebih bahagia dan damai.,positive,happy,"Mereka (PRON), bermimpi (VERB), tentang (PREP), kehidupan (NOUN), yang (PRON), lebih (ADV), bahagia (ADJ), dan (CONJ), damai (ADJ) "
